filename,file_size_mb,file_type,user_priority,user_intent,keyword_boost,has_date_pattern,rule_score,rule_tier,label_tier,file_size_mb,file_type_code,priority_cost,priority_performance,priority_balanced,intent_archival,intent_infrequent,intent_frequent,rule_score,rule_tier_numeric
backup_r0.zip,1.0,archive,cost,archival,0,False,25.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,2.0
backup_2026-05-24_r0.zip,1.0,archive,cost,archival,0,True,28.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,2.0
bundle_r0.zip,1.0,archive,cost,archival,3,False,28.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,2.0
bundle_2026-05-24_r0.zip,1.0,archive,cost,archival,3,True,31.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,31.0,2.0
archive_r0.zip,1.0,archive,cost,archival,5,False,30.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,2.0
archive_2026-05-24_r0.zip,1.0,archive,cost,archival,5,True,33.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,2.0
backup_r0.zip,1.0,archive,cost,archival,8,False,33.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,2.0
backup_2026-05-24_r0.zip,1.0,archive,cost,archival,8,True,36.0,cold,cold,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,2.0
backup_r0.zip,1.0,archive,cost,infrequent,0,False,20.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0
backup_2026-05-24_r0.zip,1.0,archive,cost,infrequent,0,True,23.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,2.0
bundle_r0.zip,1.0,archive,cost,infrequent,3,False,23.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,2.0
bundle_2026-05-24_r0.zip,1.0,archive,cost,infrequent,3,True,26.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,2.0
archive_r0.zip,1.0,archive,cost,infrequent,5,False,25.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,2.0
archive_2026-05-24_r0.zip,1.0,archive,cost,infrequent,5,True,28.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0
backup_r0.zip,1.0,archive,cost,infrequent,8,False,28.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0
backup_2026-05-24_r0.zip,1.0,archive,cost,infrequent,8,True,31.0,cold,cold,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,2.0
backup_r0.zip,1.0,archive,cost,frequent,0,False,5.0,hot,hot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
backup_2026-05-24_r0.zip,1.0,archive,cost,frequent,0,True,8.0,warm,hot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0
bundle_r0.zip,1.0,archive,cost,frequent,3,False,8.0,warm,hot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0
bundle_2026-05-24_r0.zip,1.0,archive,cost,frequent,3,True,11.0,warm,hot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0
archive_r0.zip,1.0,archive,cost,frequent,5,False,10.0,warm,hot,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0
